Name,Department,Salary,Bonus
Alice,IT,5200,500
Bob,HR,4100,300
Charlie,IT,6100,600
Diana,Finance,5800,550
Eve,IT,4900,450
Frank,HR,4200,350
Grace,Finance,6300,700
Heidi,IT,5400,500
Ivan,HR,3900,250
Judy,Finance,7200,800
Kevin,IT,5100,400
Laura,HR,4300,300
Mallory,Finance,6700,650
Niaj,IT,5600,550
Olivia,HR,4600,350
Peggy,Finance,6000,600
Quentin,IT,5800,500
Rupert,HR,4400,300
Sybil,Finance,7100,750
Trent,IT,5300,450
Uma,HR,4000,200
Victor,Finance,6900,700
Wendy,IT,5700,500
Xavier,HR,4200,300
Yvonne,Finance,6500,650
Zara,IT,6000,550
