Name,Department,Salary,Bonus,Total,Tax
Alice,IT,5200,500,5700,520.0
Bob,HR,4100,300,4400,410.0
Charlie,IT,6100,600,6700,610.0
Diana,Finance,5800,550,6350,580.0
Eve,IT,4900,450,5350,490.0
Frank,HR,4200,350,4550,420.0
Grace,Finance,6300,700,7000,630.0
Heidi,IT,5400,500,5900,540.0
Ivan,HR,3900,250,4150,390.0
Judy,Finance,7200,800,8000,720.0
Kevin,IT,5100,400,5500,510.0
Laura,HR,4300,300,4600,430.0
Mallory,Finance,6700,650,7350,670.0
Niaj,IT,5600,550,6150,560.0
Olivia,HR,4600,350,4950,460.0
Peggy,Finance,6000,600,6600,600.0
Quentin,IT,5800,500,6300,580.0
Rupert,HR,4400,300,4700,440.0
Sybil,Finance,7100,750,7850,710.0
Trent,IT,5300,450,5750,530.0
Uma,HR,4000,200,4200,400.0
Victor,Finance,6900,700,7600,690.0
Wendy,IT,5700,500,6200,570.0
Xavier,HR,4200,300,4500,420.0
Yvonne,Finance,6500,650,7150,650.0
Zara,IT,6000,550,6550,600.0
